    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
   13.7000   1.5013  -0.2611  -2.1049   2.5259   1.4652   0.9540   0.5255   0.1622   0.0356   0.0063
   13.7500   1.4911  -0.2700  -2.1107   2.5243   1.4699   0.9558   0.5335   0.1674   0.0371   0.0066
   13.8000   1.4809  -0.2788  -2.1166   2.5226   1.4746   0.9575   0.5414   0.1726   0.0386   0.0070
   13.8500   1.4707  -0.2877  -2.1224   2.5210   1.4793   0.9592   0.5492   0.1779   0.0402   0.0073
   13.9000   1.4605  -0.2965  -2.1283   2.5195   1.4841   0.9607   0.5568   0.1833   0.0418   0.0077
   13.9500   1.4503  -0.3053  -2.1342   2.5179   1.4890   0.9622   0.5643   0.1888   0.0435   0.0081
   14.0000   1.4402  -0.3141  -2.1400   2.5164   1.4939   0.9637   0.5717   0.1944   0.0453   0.0085
   14.0500   1.4301  -0.3229  -2.1459   2.5149   1.4988   0.9650   0.5788   0.2001   0.0471   0.0089
   14.1000   1.4201  -0.3317  -2.1518   2.5135   1.5037   0.9664   0.5859   0.2059   0.0490   0.0093
   14.1500   1.4100  -0.3404  -2.1576   2.5121   1.5087   0.9676   0.5928   0.2118   0.0509   0.0098
   14.2000   1.4000  -0.3491  -2.1635   2.5107   1.5136   0.9689   0.5995   0.2177   0.0529   0.0102
   14.2500   1.3901  -0.3578  -2.1693   2.5094   1.5186   0.9701   0.6060   0.2237   0.0549   0.0107
   14.3000   1.3801  -0.3665  -2.1751   2.5081   1.5235   0.9713   0.6124   0.2298   0.0570   0.0112
   14.3500   1.3702  -0.3752  -2.1809   2.5069   1.5285   0.9724   0.6186   0.2359   0.0592   0.0118
   14.4000   1.3604  -0.3838  -2.1866   2.5058   1.5334   0.9736   0.6247   0.2422   0.0614   0.0123
   14.4500   1.3506  -0.3923  -2.1924   2.5047   1.5383   0.9747   0.6305   0.2484   0.0637   0.0129
   14.5000   1.3408  -0.4009  -2.1981   2.5037   1.5431   0.9758   0.6362   0.2548   0.0661   0.0135
   14.5500   1.3310  -0.4094  -2.2038   2.5027   1.5479   0.9769   0.6418   0.2612   0.0685   0.0141
   14.6000   1.3214  -0.4179  -2.2094   2.5019   1.5527   0.9781   0.6471   0.2676   0.0710   0.0147
   14.6500   1.3117  -0.4263  -2.2150   2.5011   1.5574   0.9792   0.6523   0.2741   0.0736   0.0154
   14.7000   1.3021  -0.4347  -2.2206   2.5003   1.5620   0.9803   0.6574   0.2807   0.0762   0.0161
   14.7500   1.2926  -0.4430  -2.2261   2.4997   1.5666   0.9815   0.6622   0.2872   0.0789   0.0168
   14.8000   1.2831  -0.4513  -2.2316   2.4991   1.5711   0.9827   0.6669   0.2938   0.0817   0.0175
   14.8500   1.2736  -0.4596  -2.2370   2.4986   1.5755   0.9839   0.6714   0.3005   0.0845   0.0183
   14.9000   1.2642  -0.4678  -2.2424   2.4981   1.5798   0.9852   0.6758   0.3071   0.0875   0.0191
   14.9500   1.2549  -0.4760  -2.2478   2.4978   1.5841   0.9864   0.6800   0.3138   0.0904   0.0199
   15.0000   1.2456  -0.4841  -2.2531   2.4975   1.5882   0.9878   0.6841   0.3205   0.0935   0.0208
   15.0500   1.2364  -0.4921  -2.2583   2.4973   1.5922   0.9891   0.6880   0.3272   0.0966   0.0217
   15.1000   1.2272  -0.5001  -2.2635   2.4972   1.5962   0.9905   0.6917   0.3338   0.0998   0.0226
   15.1500   1.2181  -0.5081  -2.2686   2.4972   1.6000   0.9920   0.6953   0.3405   0.1031   0.0235
   15.2000   1.2090  -0.5160  -2.2737   2.4972   1.6037   0.9935   0.6987   0.3472   0.1065   0.0245
   15.2500   1.2000  -0.5238  -2.2787   2.4973   1.6074   0.9951   0.7020   0.3538   0.1099   0.0255
   15.3000   1.1910  -0.5316  -2.2836   2.4975   1.6109   0.9967   0.7052   0.3605   0.1134   0.0266
   15.3500   1.1822  -0.5393  -2.2885   2.4978   1.6142   0.9984   0.7082   0.3671   0.1170   0.0277
   15.4000   1.1733  -0.5470  -2.2933   2.4981   1.6175   1.0001   0.7111   0.3736   0.1206   0.0288
   15.4500   1.1646  -0.5546  -2.2980   2.4985   1.6206   1.0020   0.7139   0.3802   0.1243   0.0300
